업체명,업종,평점,방문자리뷰,블로그리뷰,주소,영업시간,전화번호,필터,URL,위도,경도
Cafe Moss,카페,4.26,342,113,서울 용산구 이촌로 248 한강맨션 11동 상가 104호,영업 중,02-798-0808,데이트,https://tinyurl.com/2xzsbf48,37.5200612,126.9729764
스시쵸우,"초밥,롤",,78,120,서울 용산구 이촌로 319 108호 스시쵸우,브레이크타임,02-749-0235,데이트,https://tinyurl.com/2ckmowx6,37.5179629,126.982327
쉐이드트리,이탈리아음식,4.41,149,95,서울 용산구 이촌로64길 24,오늘 휴무,02-792-3788,"데이트, 넓은, 가족모임",https://tinyurl.com/2bjcwtwd,37.5199894,126.969877
후우링,이자카야,4.47,103,166,서울 용산구 이촌로75길 16-9,오늘 휴무,,데이트,https://tinyurl.com/27xg8efo,37.5207071,126.974766
스즈란테이,일식당,4.38,"1,588",963,서울 용산구 이촌로 245 로얄상가 지하 1층,브레이크타임,02-749-5324,"데이트, 넓은, 혼밥, 회식, 가족모임",https://tinyurl.com/29r3x6of,37.5199701,126.9743452
르번미 이촌본점,베트남음식,4.42,"1,874",957,서울 용산구 이촌로77길 19,브레이크타임,02-797-0707,"데이트, 혼밥, 가족모임",https://tinyurl.com/27hl4fg4,37.5204467,126.9751191
스타벅스 동부이촌동점,카페,4.43,"2,597",229,서울 용산구 이촌로 198 (이촌동),영업 중,1522-3232,데이트,https://tinyurl.com/2b93fg5p,37.52111,126.96905
브루클린더버거조인트 동부이촌점,햄버거,4.49,944,409,서울 용산구 이촌로 179,브레이크타임,02-790-7180,"데이트, 넓은, 혼밥, 가족모임",https://tinyurl.com/28xunqbz,37.5216767,126.9672778
더맛있는밥집 이촌점,한식,4.08,501,137,서울 용산구 이촌로 278-1 B1F,곧 브레이크타임,02-795-5222,"데이트, 넓은, 혼밥, 회식, 가족모임",https://tinyurl.com/27dblvo9,37.5185664,126.9776862
이촌동면옥,한식,,"1,390",288,"서울 용산구 이촌로54길 17 1층, 2층",영업 중,02-796-7775,"데이트, 넓은, 혼밥, 회식, 가족모임",https://tinyurl.com/2bf3hd7z,37.5205888,126.9675018
아지겐,일식당,4.1,154,147,서울 용산구 이촌로75길 22 오성상가 1층,오늘 휴무,02-794-8177,데이트,https://tinyurl.com/2y9x9d6e,37.5207701,126.9745908
동문우동,"우동,소바",4.25,280,161,서울 용산구 이촌로 290 점보상가,영업 중,02-798-6895,"데이트, 혼밥",https://tinyurl.com/2bdcuwuk,37.5183247,126.9785494
모모야 이촌본점,돈가스,4.39,642,251,서울 용산구 이촌로 248 11-106,오늘 휴무,02-798-9922,"데이트, 혼밥, 가족모임",https://tinyurl.com/23gozo4r,37.5200208,126.9731224
긴스시,일식당,,93,135,서울 용산구 이촌로 319 31동앞 상가 110호,브레이크타임,02-797-0141,데이트,https://tinyurl.com/2y79mwtg,37.5179791,126.9824452
동촌,소고기구이,4.27,30,60,서울 용산구 이촌로75길 16-9,영업 중,02-793-9295,데이트,https://tinyurl.com/2cb8h8bh,37.5206332,126.9749011
버블브레이크,"카페,디저트",4.42,153,90,서울 용산구 이촌로 182 107호,영업 중,02-749-4449,데이트,https://tinyurl.com/23k5ohon,37.5213139,126.967453
오통영 이촌점,한식,,296,213,서울 용산구 이촌로 300 렉스상가 12-2,영업 중,0507-1315-2377,"데이트, 혼밥",https://tinyurl.com/2yansqgc,37.5179643,126.9797949
한강초밥,"초밥,롤",4.27,68,55,서울 용산구 이촌로 224 한강쇼핑센터 지하1층,영업 중,02-797-1357,데이트,https://tinyurl.com/28ruwd33,37.5201912,126.9718784
미스랄라,카페,4.46,383,132,서울 용산구 이촌로65가길 72 동인상가 106호,영업 중,02-797-3884,데이트,https://tinyurl.com/2ypoxj4b,37.5209232,126.9748834
파리크라상 이촌점,베이커리,4.35,"3,869",216,서울 용산구 이촌로 245 로얄상가 1층 파리크라상 이촌점,영업 중,02-792-1112,"데이트, 넓은",https://tinyurl.com/22rxpl54,37.5198639,126.9746835
아경면선 이촌점,아경면선,4.33,348,330,서울 용산구 이촌로 248 한강맨션 1층,영업 중,0507-1419-6890,"데이트, 혼밥, 가족모임",https://tinyurl.com/2bemcz52,37.5198148,126.9736992
한강치킨,"치킨,닭강정",4.07,354,82,서울 용산구 이촌로75길 12,영업 중,02-795-2668,"데이트, 회식",https://tinyurl.com/2ar3anhq,37.5203737,126.9742181
동문우동전문점,"우동,소바",4.12,70,41,서울 용산구 이촌로 290,영업 중,02-793-9945,데이트,https://tinyurl.com/272kwms5,37.518311,126.978577
충무김밥 동부이촌점,분식,3.88,142,11,서울 용산구 이촌로 319,,02-798-1265,"데이트, 혼밥",https://tinyurl.com/29ac9xqz,37.5179648,126.9821444
하찌방가이,카레,4.4,48,81,서울 용산구 이촌로 264 삼익아파트 지하 1층,영업 중,070-8128-8833,데이트,https://tinyurl.com/29uvasdr,37.519043,126.9761122
봉추찜닭 이촌점,찜닭,4.35,465,62,서울 용산구 이촌로65가길 78,영업 중,02-794-5511,"데이트, 넓은, 회식",https://tinyurl.com/24rtnbtp,37.5208348,126.9751859
이촌부대찌개,"찌개,전골",4.27,212,65,서울 용산구 이촌로54길 13,브레이크타임,02-798-7232,"데이트, 혼밥",https://tinyurl.com/2bu3m5sh,37.5207745,126.9676639
우미스시,"초밥,롤",,38,14,서울 용산구 이촌로75길 12,영업 중,02-794-0111,데이트,https://tinyurl.com/28q7cwq5,37.5204122,126.9742506
도담,한식,3.85,161,45,서울 용산구 이촌로77길 19 이촌종합상가,영업 중,02-733-1719,"데이트, 혼밥",https://tinyurl.com/2denxzoo,37.5206771,126.9751291
카펜터스,바(BAR),4.29,60,28,서울 용산구 이촌로 245 로얄상가 지하1층,영업 전,02-798-2773,데이트,https://tinyurl.com/265kn4j7,37.5200877,126.9740935
곤트란쉐리에 동부이촌점,베이커리,4.46,647,60,서울 용산구 이촌로64길 26,영업 중,02-790-0225,데이트,https://tinyurl.com/2bfhm8ay,37.5197985,126.9699412
니와,일식당,4.47,166,77,서울 용산구 이촌로75길 22 1,영업 전,02-790-0917,데이트,https://tinyurl.com/2xsnoxsd,37.5207486,126.9745832
차이옌,중식당,4.46,612,176,서울 용산구 이촌로88길 8,브레이크타임,02-792-0872,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/2b8mal39,37.5182035,126.9778264
열해,일식당,4.33,125,37,서울 용산구 이촌로 248 맨숀아파트,브레이크타임,02-793-1188,"데이트, 가족모임",https://tinyurl.com/28ugsgzx,37.519867,126.973585
동강,중식당,4.32,309,138,서울 용산구 이촌로 182,오늘 휴무,02-794-1033,"데이트, 혼밥",https://tinyurl.com/27ypmwn6,37.5210758,126.9674673
야래향,중식당,4.27,870,200,서울 용산구 이촌로75길 22-5,영업 중,02-797-7179,"데이트, 넓은, 혼밥, 회식, 가족모임",https://tinyurl.com/2buvvtxg,37.520975,126.974758
카모메 동부이촌점,오니기리,4.27,206,,서울 용산구 이촌로65가길 78,영업 중,02-792-3878,"데이트, 혼밥",https://tinyurl.com/26apfbgy,37.520787,126.9752999
브레드05,베이커리,4.38,850,116,서울 용산구 이촌로64길 61,영업 중,070-8836-9905,데이트,https://tinyurl.com/2xuouznn,37.5202786,126.967617
이촌횟집,일식당,4.34,138,26,서울 용산구 이촌로 196,영업 중,0507-1406-9967,데이트,https://tinyurl.com/26hve385,37.5207796,126.975233
블루메쯔 노들섬점,독일음식,,242,125,서울 용산구 양녕로 445 3층,오늘 휴무,0507-1375-6658,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/2ajn9hoe,37.5175655,126.9579313
씨네드쉐프 용산아이파크몰,양식,4.46,"1,550",747,서울 용산구 한강대로23길 55 아이파크몰 6층,영업 중,0507-1330-3793,"데이트, 가족모임",https://tinyurl.com/26xqz27p,37.5297718,126.9647415
녹사 다이닝,양식,,210,164,서울 용산구 녹사평대로40길 31 4층,오늘 휴무,0507-1315-4194,데이트,https://tinyurl.com/24wgqx6w,37.5347558,126.9875897
멜트,바(BAR),,140,176,서울 용산구 올림픽대로 2085-96 THE RIVER 2.5층,오늘 휴무,02-595-6642,데이트,https://tinyurl.com/227kkl86,37.5070602,126.9846915
쿠시노리,이자카야,,207,229,서울 용산구 회나무로13가길 3-8 1층,영업 전,0507-1360-4427,데이트,https://tinyurl.com/254lz73q,37.540926,126.9900343
이태리이층집,양식,4.85,982,"5,724",서울 용산구 한강대로48길 15 2층 이태리이층집,오늘 휴무,0507-1471-8027,데이트,https://tinyurl.com/238ucn8w,37.5315895,126.9714742
심퍼티쿠시 용산점,양식,,773,"2,255",서울 용산구 한강대로52길 17-3 1층,브레이크타임,0507-1433-2056,데이트,https://tinyurl.com/26g7rmv7,37.5321598,126.9720653
몽상가,"육류,고기요리",,"1,109","1,530",서울 용산구 한강대로38가길 7-16,영업 전,0507-1326-6825,데이트,https://tinyurl.com/24kgm63d,37.5297775,126.9701414
터렛,양식,,136,91,서울 용산구 이태원로 136-1 은영빌딩 2층,오늘 휴무,0507-1485-0560,데이트,https://tinyurl.com/2bbzqt3z,37.5340068,126.9890549
워킹온더클라우드,양식,4.69,"7,123","3,055",서울 영등포구 63로 50 한화생명빌딩 59층,브레이크타임,0507-1400-5904,"데이트, 가족모임",https://tinyurl.com/222xmgll,37.5197398,126.9398902
드포레 와인&비스트로 용산점,양식,,944,"1,495",서울 용산구 한강대로15길 8-3 1층,영업 전,0507-1375-9535,데이트,https://tinyurl.com/2y5fzt2e,37.5260535,126.963968
hGarden999,이탈리아음식,4.4,"1,821",559,서울 용산구 한강대로23길 55 아이파크몰 더 센터 4층 hGarden999,영업 중,02-2012-0999,"데이트, 넓은",https://tinyurl.com/2c9ed4hf,37.5292294,126.9653477
카토,브런치,,"2,604","1,633","서울 용산구 한강대로7길 22-7 1층, 2층",영업 중,0507-1395-7397,데이트,https://tinyurl.com/23ubo8y7,37.525022,126.9617848
화양연화,"육류,고기요리",,927,"1,758",서울 용산구 한강대로14가길 12,영업 전,0507-1340-6825,데이트,https://tinyurl.com/23glyxkn,37.5242194,126.9650145
쇼니노,양식,,629,"1,354",서울 용산구 한강대로21길 17-18 1층,영업 중,0507-1390-5629,데이트,https://tinyurl.com/27y8xe3j,37.5263864,126.963325
카페슈스,"카페,디저트",,75,116,"서울 용산구 한강대로7길 17-8 1층,2층",영업 중,0507-1377-2509,데이트,https://tinyurl.com/24egk9yk,37.5242746,126.961563
Pimfy 이태원,양식,,"1,266","1,226",서울 용산구 녹사평대로40길 46 1층 Pimfy,영업 중,0507-1447-0334,데이트,https://tinyurl.com/23d6s7xr,37.5344047,126.9882179
이태원 농담,이탈리아음식,,"1,443",972,서울 용산구 녹사평대로32길 3 2층,영업 중,0507-1480-0414,데이트,https://tinyurl.com/23xpjhrp,37.5336866,126.9890419
칠사칠,양식,4.74,394,606,서울 용산구 이태원로20가길 1,오늘 휴무,0507-1413-7470,데이트,https://tinyurl.com/23lblcfy,37.5336057,126.99232
이태원 주식,요리주점,4.66,683,"2,562",서울 용산구 녹사평대로32길 36,영업 전,010-7791-4193,데이트,https://tinyurl.com/2yyk87d2,37.5331825,126.9904414
오네스토,"스파게티,파스타전문",4.55,"1,126",824,서울 용산구 한강대로52길 19 1~2층 오네스토,오늘 휴무,0507-1368-5486,데이트,https://tinyurl.com/2ble6ern,37.532039,126.9722649
앤에프앤지,양식,,85,28,서울 용산구 백범로 326 2층,오늘 휴무,0507-1332-4060,데이트,https://tinyurl.com/2c79lt5y,37.5381476,126.965051
오스테리아 이아드 용산,이탈리아음식,,344,661,서울 용산구 한강대로21길 17-7 2층 osteria IAAD,오늘 휴무,0507-1447-3779,데이트,https://tinyurl.com/25plotqz,37.5266173,126.9639377
알탭 이태원,요리주점,,"1,221",520,서울 용산구 이태원로19길 9 1층 알탭 이태원,오늘 휴무,0507-1351-3662,데이트,https://tinyurl.com/24xbp6zk,37.5349112,126.9917719
스투엘,와인,,342,426,서울 용산구 한강대로52길 25 지하1층,영업 전,0507-1438-2882,데이트,https://tinyurl.com/23jlyw53,37.531927,126.9724919
춈,양식,,376,622,서울 용산구 신흥로 30 2층 춈(CHOME),오늘 휴무,0507-1445-1266,데이트,https://tinyurl.com/29kz8o32,37.5410354,126.9872215
엠버앰버,요리주점,,214,228,서울 용산구 한강대로15길 8-4 1층 엠버앰버,영업 전,0507-1334-3905,데이트,https://tinyurl.com/29n44rhw,37.5260288,126.9641063
메종 루블랑 용산본점,프랑스음식,,"1,398",971,서울 용산구 한강대로15길 19-22 1층,오늘 휴무,0507-1417-2040,데이트,https://tinyurl.com/2yjkdvze,37.5256464,126.9628292
버터라이스클럽 용산점,이탈리아음식,4.67,451,599,서울 용산구 한강대로7길 22-17 1층,브레이크타임,070-4142-8888,데이트,https://tinyurl.com/2xlorn4h,37.5254158,126.9622089
마틸다,양식,4.81,500,433,서울 용산구 회나무로13가길 40 1층 남산탕 건물 마틸다,영업 전,0507-1305-5714,데이트,https://tinyurl.com/25s7lx8f,37.5408879,126.9918069
키미,이탈리아음식,,186,233,서울 용산구 한강대로38길 29 1층,브레이크타임,02-6369-0509,데이트,https://tinyurl.com/282vub6s,37.5290516,126.9699329
포이 키친,일식당,,256,277,서울 용산구 새창로 128-9,오늘 휴무,0507-1383-6399,데이트,https://tinyurl.com/2xqtjuyb,37.535994,126.9606758
더뷰 이태원,바(BAR),,705,323,서울 용산구 이태원로16길 11 1층,영업 전,0507-1477-1278,데이트,https://tinyurl.com/2677orcy,37.5337485,126.9912618
엘리트서울,와인,4.84,215,342,서울 용산구 보광로59길 40 5층 501호,오늘 휴무,0507-1351-9424,데이트,https://tinyurl.com/2y464arw,37.5200359,126.9741769
더큐어링,양식,5.0,397,251,서울 동작구 서달로14길 12 2층 더 큐어링,영업 전,0507-1364-4912,데이트,https://tinyurl.com/28d8epxg,37.5079392,126.963691
먼치,양식,4.52,765,"1,197",서울 용산구 한강대로38가길 7-26,브레이크타임,0507-1336-5387,데이트,https://tinyurl.com/28rkc8ho,37.5299223,126.969883
초승달,요리주점,4.75,684,944,서울 용산구 회나무로26길 12 1층,오늘 휴무,02-749-6444,데이트,https://tinyurl.com/2795o5gz,37.5396391,126.9913707
시우어게인,양식,4.41,189,280,서울 용산구 녹사평대로 210-6 5층 시우어게인,오늘 휴무,0507-1342-4211,데이트,https://tinyurl.com/2dgv9hl9,37.5364378,126.9873441
한우물,한식,,994,803,서울 용산구 이태원로16길 14-4 1층 한우물,브레이크타임,0507-1327-2291,데이트,https://tinyurl.com/2df7n4bb,37.5275118,126.95449
어글리소사이어티,와인,4.53,650,764,서울 용산구 보광로59길 40 6층,영업 전,0507-1354-0892,데이트,https://tinyurl.com/2crll9o2,37.5339569,126.9918038
남산와이너리,양식,4.79,563,365,서울 용산구 회나무로10길 5,오늘 휴무,0507-1405-5849,데이트,https://tinyurl.com/27okxq7x,37.5389735,126.9891228
오스테리아 오티보,양식,4.37,295,202,서울 서초구 방배중앙로 214,오늘 휴무,02-586-0068,"데이트, 넓은",https://tinyurl.com/23czkuu3,37.4981479,126.9852173
봇타야산,일식당,4.37,799,565,서울 서초구 방배중앙로 214,오늘 휴무,0507-1427-6565,데이트,https://tinyurl.com/2c679ovr,37.4981887,126.985276
낙원테산도 용산아이파크몰점,일식당,,"2,543","1,459",서울 용산구 한강대로23길 55 6층,영업 중,02-2012-0615,데이트,https://tinyurl.com/24u4waqa,37.5297718,126.9647415
부기우기,바(BAR),4.55,310,641,서울 용산구 회나무로 21 2층,영업 전,010-2396-3050,데이트,https://tinyurl.com/2aag484x,37.5392637,126.9890671
라운드스시,일식당,,587,563,서울 용산구 한강대로21길 7 나동 1층(한강로3가),브레이크타임,0507-1365-6822,데이트,https://tinyurl.com/27gtcfs9,37.526217,126.9645025
경리단길와인,와인,4.72,159,285,서울 용산구 녹사평대로54길 6,오늘 휴무,0507-1312-6964,데이트,https://tinyurl.com/2clljcm9,37.539261,126.9876416
안남 신용산점,베트남음식,,31,635,"서울 용산구 한강대로 37 2층 205, 206호",브레이크타임,0507-1440-8355,데이트,https://tinyurl.com/239worf6,37.5248261,126.963139
내추럴하이,양식,4.64,381,942,서울 용산구 녹사평대로 248 1층,영업 중,0507-1326-3372,데이트,https://tinyurl.com/27pfagbw,37.5396924,126.9875663
톰스키친,"스파게티,파스타전문",4.53,86,206,서울 동작구 만양로3길 20 D동 202호,브레이크타임,010-2481-5969,데이트,https://tinyurl.com/2yoz3oex,37.5082,126.946517
산동,일식당,4.58,"1,147",684,서울 용산구 한강대로39길 5,브레이크타임,0507-1474-1505,데이트,https://tinyurl.com/2xhmekdu,37.5305396,126.9685794
다스티 더 히든,이탈리아음식,4.61,985,318,서울 용산구 한강대로57길 24,브레이크타임,0507-1309-3667,데이트,https://tinyurl.com/2bp2emfr,37.5348932,126.9727112
헵시바극장,와인,,64,108,서울 용산구 이태원로14길 29 2층,오늘 휴무,0507-1492-3141,데이트,https://tinyurl.com/23vs879u,37.5332348,126.991162
알랭들롱,프랑스음식,,108,"1,921",서울 용산구 한강대로52길 26 1층 알랭들롱,오늘 휴무,010-8321-3592,데이트,https://tinyurl.com/22342nf3,37.5316994,126.9723435
쪽갈비제작소,돼지고기구이,,264,844,서울 용산구 이태원로19길 14 1층 쪽갈비제작소,영업 전,0507-1373-8368,데이트,https://tinyurl.com/2yrz4mvd,37.5350851,126.9918964
재재식당,돈가스,4.45,867,"1,582",서울 용산구 녹사평대로40길 59-1 1층 재재식당,브레이크타임,0507-1325-1304,데이트,https://tinyurl.com/27yxvx2b,37.534477,126.9891818
주도락 신용산본점,요리주점,,"1,475",662,서울 용산구 한강대로46길 19 1층,브레이크타임,0507-1333-9940,데이트,https://tinyurl.com/2a8bcwoj,37.5310822,126.9713252
양인환대,"육류,고기요리",4.63,496,"1,353",서울 용산구 한강대로40길 14 지상 1층 101호,영업 전,0507-1331-0729,데이트,https://tinyurl.com/2deqz98s,37.5301779,126.9700385
로스트인홍콩,중식당,,856,"1,013",서울 용산구 한강대로44길 25 1층 로스트인홍콩,영업 전,0507-1324-4566,데이트,https://tinyurl.com/22rwkyr7,37.5306213,126.9712754
움프,와인,4.39,206,255,서울 동작구 상도로 341-2,영업 전,0507-1428-3508,데이트,https://tinyurl.com/23zwrnyc,37.4980529,126.9525282
느루 용산점,양식,4.68,"1,821",773,서울 용산구 한강대로 126-2 1층,영업 중,0507-1477-2078,데이트,https://tinyurl.com/273jr3h8,37.530686,126.9696671
홍홍,"육류,고기요리",,708,786,서울 용산구 한강대로7길 30-18 1층,영업 전,0507-1317-6825,데이트,https://tinyurl.com/2a5pgt9m,37.5256709,126.9564369
오우버,와인,,82,138,서울 용산구 녹사평대로 168-20,오늘 휴무,0507-1328-7766,데이트,https://tinyurl.com/24zjxbp7,37.5332926,126.9899851
아치서울 용산점,양식,,743,"1,018","서울 용산구 한강대로52길 25-8 201호, 202호",영업 중,0507-1393-7906,"데이트, 넓은",https://tinyurl.com/264xleqd,37.5319106,126.9729688
미토 용산본점,이자카야,,"1,636","1,470","서울 용산구 한강대로42길 7 1, 2, 3층",영업 전,0507-1389-7884,데이트,https://tinyurl.com/27j6dqgt,37.5307808,126.9701417
판코네,양식,,411,"3,588",서울 용산구 한강대로40가길 7 풍양빌딩 1층 판코네,브레이크타임,0507-1473-0730,데이트,https://tinyurl.com/2299emq2,37.5304357,126.9711127
카나비,한식,,263,"2,755",서울 용산구 한강대로62길 55 4층,브레이크타임,0507-1496-5612,데이트,https://tinyurl.com/28t23tyc,37.5323937,126.9736204
피자페이스오프 신용산점,피자,,"1,784",872,서울 용산구 한강대로 126-4 2층,영업 중,0507-1346-5529,데이트,https://tinyurl.com/2bj7mrn7,37.53074,126.9697286
당스,양식,,650,847,서울 용산구 한강대로7길 23-5 당스,오늘 휴무,0507-1333-7334,데이트,https://tinyurl.com/2cnvknat,37.5244372,126.9615611
치즈테이블,와인,,494,278,서울 마포구 삼개로1길 17-12 지하1층,영업 전,0507-1337-9835,데이트,https://tinyurl.com/28pkv2eg,37.5396226,126.948717
이즈비,양식,4.54,706,531,서울 용산구 이태원로20길 24,곧 브레이크타임,0507-1373-2689,데이트,https://tinyurl.com/279p62s7,37.5333071,126.9922656
고청담 용산점,소고기구이,,"1,575","2,694",서울 용산구 한강대로 100 아모레퍼시픽 본사 B1F,영업 중,0507-1447-3300,"데이트, 가족모임",https://tinyurl.com/23z9s25j,37.5287912,126.9686735
심상,요리주점,4.66,388,575,서울 용산구 한강대로40길 14 2층,영업 전,0507-1429-0306,데이트,https://tinyurl.com/2bd7kule,37.5301836,126.9699963
디어앨리스,양식,,842,498,서울 용산구 녹사평대로40길 51 2층,영업 중,0507-1435-1643,데이트,https://tinyurl.com/24s5z4n2,37.5344802,126.9886485
용산피보,와인,4.98,204,364,서울 용산구 백범로99길 40 트리스퀘어 102동 113호,오늘 휴무,0507-1448-0404,데이트,https://tinyurl.com/2cq3bvna,37.5350261,126.9712637
소들식당,"육류,고기요리",,24,799,서울 마포구 마포대로4길 39 1층,브레이크타임,0507-1430-8983,데이트,https://tinyurl.com/2beh2fst,37.5380194,126.9468032
적토발효구이 용산점,"육류,고기요리",,434,785,서울 용산구 한강대로14길 12 1층 적토발효구이 용산점,영업 전,0507-1390-6404,"데이트, 가족모임",https://tinyurl.com/22u9lcfr,37.5248723,126.9648795
쌤쌤쌤,양식,4.39,"3,755","6,806",서울 용산구 한강대로50길 25 1층,영업 중,0507-1309-1103,"데이트, 가족모임",https://tinyurl.com/25wfb588,37.5315541,126.9721757
룡산399 용산점,중식당,,659,"1,493",서울 용산구 한강대로14길 69 1층 102호,브레이크타임,0507-1479-0467,"데이트, 넓은, 가족모임",https://tinyurl.com/28wuehno,37.5234388,126.9676201
마녀김밥 노들점,김밥,4.29,"2,284",125,서울 용산구 양녕로 445 특화공간 B동2층,오늘 휴무,02-3785-2224,"넓은, 혼밥, 회식",https://tinyurl.com/276p54ar,37.5175763,126.9579031
이촌가온,한식,,246,25,서울 용산구 이촌로64길 34,곧 브레이크타임,02-792-1577,"넓은, 혼밥, 회식",https://tinyurl.com/2dor7u96,37.5198886,126.969719
노들펍,양식,,250,10,서울 용산구 양녕로 445 D-1 1층 노들펍,영업 종료,0507-1343-7951,"넓은, 회식",https://tinyurl.com/244jfbzd,37.5176168,126.9574191
김뿌라 동부이촌점,"초밥,롤",,256,36,서울 용산구 이촌로84길 9-18 2층,영업 중,0507-1429-2417,"넓은, 혼밥, 회식",https://tinyurl.com/22c9flaf,37.5180401,126.9777612
커피앳웍스 동부이촌동점,카페,4.43,"2,320",115,서울 용산구 이촌로 224 한강쇼핑센터 1층,영업 중,0507-1487-8101,넓은,https://tinyurl.com/27wfw5ru,37.5203649,126.9720188
서가두부 이촌점,두부요리,4.5,961,21,서울 용산구 이촌로75길 22-3,,02-797-1006,"넓은, 혼밥, 회식",https://tinyurl.com/29ydvgwe,37.5209169,126.9745043
죠스떡볶이 이촌점,분식,4.32,"1,237",41,서울 용산구 이촌로 245 로얄맨숀아파트,오늘 휴무,02-790-7288,"넓은, 혼밥",https://tinyurl.com/2a64tck3,37.5198856,126.9745759
